Vardas     Pavarde     ND1  ND2  ND3  ND4  ND5  Egzaminas
Vardas557     Pavarde557     10  4  8  6  4  1
Vardas558     Pavarde558     8  3  4  5  10  10
Vardas559     Pavarde559     6  4  2  3  1  2
Vardas560     Pavarde560     8  5  1  3  8  4
Vardas561     Pavarde561     1  9  2  10  7  3
Vardas562     Pavarde562     6  5  7  6  8  10
Vardas563     Pavarde563     6  1  4  1  9  3
Vardas564     Pavarde564     2  9  8  10  10  8
Vardas565     Pavarde565     7  3  7  5  6  7
Vardas566     Pavarde566     3  9  1  2  1  9
Vardas567     Pavarde567     7  3  7  2  9  6
Vardas568     Pavarde568     5  7  10  5  10  2
Vardas569     Pavarde569     10  10  7  4  4  1
Vardas570     Pavarde570     8  8  3  7  3  7
Vardas571     Pavarde571     6  3  7  5  10  2
Vardas572     Pavarde572     5  1  6  7  10  7
Vardas573     Pavarde573     4  8  9  7  3  9
Vardas574     Pavarde574     8  1  9  3  6  2
Vardas575     Pavarde575     1  10  3  9  2  3
Vardas576     Pavarde576     10  10  4  1  10  5
Vardas577     Pavarde577     2  9  8  10  10  9
Vardas578     Pavarde578     8  2  9  2  6  8
Vardas579     Pavarde579     8  2  3  7  9  3
Vardas580     Pavarde580     6  7  7  5  3  10
Vardas581     Pavarde581     3  6  8  4  4  8
Vardas582     Pavarde582     9  7  6  8  5  10
Vardas583     Pavarde583     5  2  5  4  10  8
Vardas584     Pavarde584     2  1  4  5  5  10
Vardas585     Pavarde585     5  6  3  3  5  1
Vardas586     Pavarde586     9  9  5  4  5  9
Vardas587     Pavarde587     5  9  6  3  8  10
Vardas588     Pavarde588     8  6  6  6  7  6
Vardas589     Pavarde589     2  4  7  7  4  2
Vardas590     Pavarde590     2  4  10  2  8  3
Vardas591     Pavarde591     4  5  7  2  4  8
Vardas592     Pavarde592     5  5  1  6  9  4
Vardas593     Pavarde593     9  5  5  10  1  6
Vardas594     Pavarde594     4  8  4  2  8  6
Vardas595     Pavarde595     1  9  10  2  3  6
Vardas596     Pavarde596     7  2  6  7  3  10
Vardas597     Pavarde597     4  1  8  4  7  2
Vardas598     Pavarde598     2  10  5  7  6  7
Vardas599     Pavarde599     7  1  6  2  1  10
Vardas600     Pavarde600     6  10  9  7  7  10
Vardas601     Pavarde601     10  1  8  4  2  6
Vardas602     Pavarde602     9  1  6  9  4  10
Vardas603     Pavarde603     6  2  1  3  10  9
Vardas604     Pavarde604     9  5  9  9  1  10
Vardas605     Pavarde605     4  6  7  10  1  9
Vardas606     Pavarde606     5  8  6  6  7  9
Vardas607     Pavarde607     4  3  9  4  10  9
Vardas608     Pavarde608     2  7  6  8  10  7
Vardas609     Pavarde609     3  6  6  8  10  5
Vardas610     Pavarde610     3  4  8  5  6  8
Vardas611     Pavarde611     2  6  4  7  3  10
Vardas612     Pavarde612     4  4  5  2  4  1
Vardas613     Pavarde613     3  5  4  3  2  7
Vardas614     Pavarde614     9  1  9  1  1  1
Vardas615     Pavarde615     9  5  8  4  8  2
Vardas616     Pavarde616     5  4  7  2  10  4
Vardas617     Pavarde617     6  9  1  3  5  2
Vardas618     Pavarde618     9  10  4  10  8  8
Vardas619     Pavarde619     10  8  5  8  4  3
Vardas620     Pavarde620     6  10  5  8  10  6
Vardas621     Pavarde621     2  4  4  3  5  1
Vardas622     Pavarde622     6  1  5  7  3  8
Vardas623     Pavarde623     1  2  2  10  8  3
Vardas624     Pavarde624     8  7  5  5  8  4
Vardas625     Pavarde625     10  10  3  10  8  5
Vardas626     Pavarde626     6  1  9  3  1  7
Vardas627     Pavarde627     9  5  8  8  3  9
Vardas628     Pavarde628     2  9  2  8  8  5
Vardas629     Pavarde629     6  10  10  7  3  8
Vardas630     Pavarde630     3  9  2  10  3  1
Vardas631     Pavarde631     3  1  6  4  8  3
Vardas632     Pavarde632     10  8  4  3  5  7
Vardas633     Pavarde633     7  10  3  5  7  10
Vardas634     Pavarde634     1  3  6  8  4  7
Vardas635     Pavarde635     5  2  2  7  10  4
Vardas636     Pavarde636     10  7  2  4  2  4
Vardas637     Pavarde637     4  9  7  9  9  9
Vardas638     Pavarde638     8  8  1  8  7  1
Vardas639     Pavarde639     9  3  1  5  7  1
Vardas640     Pavarde640     2  9  6  2  2  3
Vardas641     Pavarde641     7  5  4  7  4  2
Vardas642     Pavarde642     2  1  2  4  2  4
Vardas643     Pavarde643     1  1  7  10  10  2
Vardas644     Pavarde644     10  1  5  4  10  4
Vardas645     Pavarde645     7  8  5  5  5  7
Vardas646     Pavarde646     10  8  2  9  5  7
Vardas647     Pavarde647     1  1  4  5  1  9
Vardas648     Pavarde648     8  8  6  9  4  10
Vardas649     Pavarde649     10  1  8  5  10  2
Vardas650     Pavarde650     10  2  3  8  7  8
Vardas651     Pavarde651     3  8  2  10  6  7
Vardas652     Pavarde652     9  7  10  3  10  1
Vardas653     Pavarde653     2  8  1  5  7  6
Vardas654     Pavarde654     2  6  10  7  5  7
Vardas655     Pavarde655     8  10  1  9  5  10
Vardas656     Pavarde656     9  5  8  7  9  3
Vardas657     Pavarde657     6  2  2  5  10  10
Vardas658     Pavarde658     8  2  10  9  8  7
Vardas659     Pavarde659     3  8  10  2  8  1
Vardas660     Pavarde660     3  8  8  10  10  1
Vardas661     Pavarde661     2  6  6  3  1  2
Vardas662     Pavarde662     3  1  1  8  2  6
Vardas663     Pavarde663     7  1  5  1  6  4
Vardas664     Pavarde664     4  1  9  1  4  1
Vardas665     Pavarde665     1  8  3  7  5  2
Vardas666     Pavarde666     5  8  3  8  8  2
Vardas667     Pavarde667     8  6  10  9  4  3
Vardas668     Pavarde668     6  1  8  1  3  4
Vardas669     Pavarde669     2  5  7  3  6  7
Vardas670     Pavarde670     5  5  10  10  3  2
Vardas671     Pavarde671     8  7  5  3  8  8
Vardas672     Pavarde672     1  8  8  6  1  5
Vardas673     Pavarde673     7  6  2  10  7  9
Vardas674     Pavarde674     2  1  7  2  3  7
Vardas675     Pavarde675     8  1  1  6  2  2
Vardas676     Pavarde676     10  1  8  8  7  1
Vardas677     Pavarde677     2  2  3  9  3  2
Vardas678     Pavarde678     2  1  7  5  8  3
Vardas679     Pavarde679     1  3  6  6  2  1
Vardas680     Pavarde680     1  8  2  10  4  1
Vardas681     Pavarde681     2  4  6  8  4  1
Vardas682     Pavarde682     9  4  5  6  10  9
Vardas683     Pavarde683     10  1  5  6  2  10
Vardas684     Pavarde684     2  8  2  3  9  9
Vardas685     Pavarde685     4  4  4  4  8  3
Vardas686     Pavarde686     8  2  9  3  4  9
Vardas687     Pavarde687     1  7  1  8  8  5
Vardas688     Pavarde688     3  6  4  2  6  8
Vardas689     Pavarde689     6  7  2  4  9  10
Vardas690     Pavarde690     7  4  2  7  6  9
Vardas691     Pavarde691     3  2  1  3  4  4
Vardas692     Pavarde692     4  5  9  3  5  5
Vardas693     Pavarde693     1  10  10  4  5  1
Vardas694     Pavarde694     7  10  8  3  2  4
Vardas695     Pavarde695     9  9  8  9  2  7
Vardas696     Pavarde696     10  2  1  3  5  7
Vardas697     Pavarde697     5  1  5  5  1  9
Vardas698     Pavarde698     5  2  1  8  9  3
Vardas699     Pavarde699     8  5  1  10  1  6
Vardas700     Pavarde700     4  8  9  3  10  10
Vardas701     Pavarde701     1  7  10  8  9  3
Vardas702     Pavarde702     3  4  3  5  9  3
Vardas703     Pavarde703     4  10  8  10  7  7
Vardas704     Pavarde704     9  7  9  3  2  10
Vardas705     Pavarde705     3  9  4  6  8  2
Vardas706     Pavarde706     5  5  1  8  8  7
Vardas707     Pavarde707     2  3  3  3  1  4
Vardas708     Pavarde708     5  9  3  4  6  9
Vardas709     Pavarde709     6  2  1  7  5  5
Vardas710     Pavarde710     3  1  4  9  4  10
Vardas711     Pavarde711     8  7  6  2  7  4
Vardas712     Pavarde712     10  5  5  9  6  4
Vardas713     Pavarde713     6  9  5  4  9  10
Vardas714     Pavarde714     3  1  3  5  8  6
Vardas715     Pavarde715     10  7  6  7  1  5
Vardas716     Pavarde716     7  1  2  5  5  3
Vardas717     Pavarde717     3  7  6  9  1  4
Vardas718     Pavarde718     5  1  3  9  8  8
Vardas719     Pavarde719     3  7  10  6  4  6
Vardas720     Pavarde720     1  7  3  10  8  3
Vardas721     Pavarde721     4  3  9  3  10  8
Vardas722     Pavarde722     10  10  10  10  10  9
Vardas723     Pavarde723     4  9  6  1  7  10
Vardas724     Pavarde724     8  9  10  1  9  5
Vardas725     Pavarde725     2  5  10  4  3  1
Vardas726     Pavarde726     9  9  6  3  4  6
Vardas727     Pavarde727     8  3  5  4  7  4
Vardas728     Pavarde728     5  3  5  6  5  8
Vardas729     Pavarde729     1  1  7  2  9  7
Vardas730     Pavarde730     4  8  9  7  9  1
Vardas731     Pavarde731     5  5  1  3  4  7
Vardas732     Pavarde732     10  3  9  8  2  6
Vardas733     Pavarde733     7  7  9  9  5  2
Vardas734     Pavarde734     6  1  9  1  3  5
Vardas735     Pavarde735     7  4  5  1  8  6
Vardas736     Pavarde736     6  1  6  9  8  8
Vardas737     Pavarde737     3  9  7  5  8  1
Vardas738     Pavarde738     7  6  9  4  5  6
Vardas739     Pavarde739     3  10  5  6  10  4
Vardas740     Pavarde740     10  5  6  6  5  1
Vardas741     Pavarde741     3  2  4  7  8  1
Vardas742     Pavarde742     5  8  4  5  3  10
Vardas743     Pavarde743     9  9  6  10  1  10
Vardas744     Pavarde744     4  8  9  4  9  3
Vardas745     Pavarde745     4  7  2  6  3  5
Vardas746     Pavarde746     2  4  9  8  3  10
Vardas747     Pavarde747     8  3  6  9  2  7
Vardas748     Pavarde748     4  6  10  8  10  1
Vardas749     Pavarde749     8  8  4  7  1  9
Vardas750     Pavarde750     9  5  3  9  5  10
Vardas751     Pavarde751     1  5  6  1  1  7
Vardas752     Pavarde752     7  8  4  10  4  4
Vardas753     Pavarde753     6  7  1  2  6  6
Vardas754     Pavarde754     5  9  8  2  9  10
Vardas755     Pavarde755     9  6  1  4  4  8
Vardas756     Pavarde756     4  8  9  7  8  7
Vardas757     Pavarde757     3  5  2  9  9  9
Vardas758     Pavarde758     6  2  2  1  10  8
Vardas759     Pavarde759     6  3  7  4  7  6
Vardas760     Pavarde760     1  4  1  7  2  6
Vardas761     Pavarde761     4  5  1  2  2  5
Vardas762     Pavarde762     6  3  1  7  2  7
Vardas763     Pavarde763     7  2  2  8  1  8
Vardas764     Pavarde764     7  2  10  8  2  8
Vardas765     Pavarde765     6  3  4  1  2  4
Vardas766     Pavarde766     6  10  10  3  2  8
Vardas767     Pavarde767     1  5  2  3  6  4
Vardas768     Pavarde768     6  10  5  10  8  6
Vardas769     Pavarde769     7  9  1  6  5  6
Vardas770     Pavarde770     4  2  4  2  7  9
Vardas771     Pavarde771     10  10  3  6  9  4
Vardas772     Pavarde772     1  7  9  4  2  1
Vardas773     Pavarde773     2  10  3  4  2  2
Vardas774     Pavarde774     8  6  10  9  3  5
Vardas775     Pavarde775     10  8  9  7  8  8
Vardas776     Pavarde776     3  5  10  4  5  4
Vardas777     Pavarde777     5  8  10  1  2  9
Vardas778     Pavarde778     10  5  4  5  7  7
Vardas779     Pavarde779     6  4  6  2  2  10
Vardas780     Pavarde780     4  6  8  8  3  5
Vardas781     Pavarde781     5  1  6  7  2  7
Vardas782     Pavarde782     1  9  2  6  5  6
Vardas783     Pavarde783     7  10  1  5  3  2
Vardas784     Pavarde784     7  9  6  9  1  2
Vardas785     Pavarde785     1  10  5  3  8  10
Vardas786     Pavarde786     8  10  1  10  7  7
Vardas787     Pavarde787     6  10  7  7  4  3
Vardas788     Pavarde788     2  9  4  7  6  9
Vardas789     Pavarde789     4  4  9  6  4  10
Vardas790     Pavarde790     2  5  2  4  4  4
Vardas791     Pavarde791     4  7  2  4  8  6
Vardas792     Pavarde792     6  8  2  9  6  3
Vardas793     Pavarde793     10  4  1  5  4  7
Vardas794     Pavarde794     5  9  8  10  9  1
Vardas795     Pavarde795     7  7  9  7  8  3
Vardas796     Pavarde796     5  5  8  6  4  6
Vardas797     Pavarde797     6  9  9  4  6  4
Vardas798     Pavarde798     4  1  5  7  9  2
Vardas799     Pavarde799     5  9  5  4  6  7
Vardas800     Pavarde800     5  1  1  7  5  6
Vardas801     Pavarde801     4  3  9  9  3  3
Vardas802     Pavarde802     6  6  8  5  8  5
Vardas803     Pavarde803     3  6  2  9  4  6
Vardas804     Pavarde804     6  6  3  2  6  5
Vardas805     Pavarde805     9  1  3  5  7  4
Vardas806     Pavarde806     4  4  10  5  10  8
Vardas807     Pavarde807     3  9  6  2  6  9
Vardas808     Pavarde808     5  6  4  8  6  10
Vardas809     Pavarde809     2  7  7  3  4  1
Vardas810     Pavarde810     8  6  2  4  8  5
Vardas811     Pavarde811     8  7  2  4  9  2
Vardas812     Pavarde812     3  6  5  9  2  9
Vardas813     Pavarde813     4  2  7  1  4  8
Vardas814     Pavarde814     10  4  3  4  7  1
Vardas815     Pavarde815     7  2  7  5  9  9
Vardas816     Pavarde816     8  3  3  9  5  10
Vardas817     Pavarde817     10  2  9  2  2  7
Vardas818     Pavarde818     10  2  8  4  4  3
Vardas819     Pavarde819     1  7  5  5  5  3
Vardas820     Pavarde820     9  6  10  5  3  5
Vardas821     Pavarde821     3  3  10  4  7  4
Vardas822     Pavarde822     1  8  4  6  3  4
Vardas823     Pavarde823     1  2  2  7  9  4
Vardas824     Pavarde824     9  6  4  8  6  2
Vardas825     Pavarde825     5  2  2  2  2  3
Vardas826     Pavarde826     4  10  1  5  7  3
Vardas827     Pavarde827     7  5  10  1  8  3
Vardas828     Pavarde828     10  7  3  9  8  6
Vardas829     Pavarde829     5  7  5  6  6  3
Vardas830     Pavarde830     1  2  1  9  4  2
Vardas831     Pavarde831     2  9  1  10  8  5
Vardas832     Pavarde832     7  3  1  2  7  4
Vardas833     Pavarde833     9  9  6  4  9  2
Vardas834     Pavarde834     3  6  3  4  4  6
Vardas835     Pavarde835     2  2  3  1  4  4
Vardas836     Pavarde836     6  5  4  10  6  8
Vardas837     Pavarde837     9  9  5  2  6  2
Vardas838     Pavarde838     2  5  4  3  2  2
Vardas839     Pavarde839     2  4  1  1  9  9
Vardas840     Pavarde840     8  2  9  10  6  9
Vardas841     Pavarde841     9  10  9  10  8  10
Vardas842     Pavarde842     6  8  7  6  6  10
Vardas843     Pavarde843     2  8  8  6  1  6
Vardas844     Pavarde844     6  1  4  1  10  9
Vardas845     Pavarde845     10  10  1  10  5  6
Vardas846     Pavarde846     6  4  7  10  9  9
Vardas847     Pavarde847     1  9  10  4  3  5
Vardas848     Pavarde848     9  9  1  4  8  4
Vardas849     Pavarde849     1  10  1  7  8  4
Vardas850     Pavarde850     4  4  9  2  5  3
Vardas851     Pavarde851     5  9  7  2  1  1
Vardas852     Pavarde852     9  8  6  7  2  7
Vardas853     Pavarde853     1  9  7  1  10  3
Vardas854     Pavarde854     2  9  1  1  1  2
Vardas855     Pavarde855     8  6  7  1  9  4
Vardas856     Pavarde856     1  1  1  8  3  6
Vardas857     Pavarde857     3  1  7  10  9  10
Vardas858     Pavarde858     8  5  10  2  4  4
Vardas859     Pavarde859     2  10  6  1  10  10
Vardas860     Pavarde860     1  8  8  3  5  9
Vardas861     Pavarde861     5  3  1  8  8  5
Vardas862     Pavarde862     10  3  10  8  9  2
Vardas863     Pavarde863     4  10  4  7  9  7
Vardas864     Pavarde864     9  2  1  3  7  1
Vardas865     Pavarde865     3  8  6  3  8  10
Vardas866     Pavarde866     8  6  4  3  10  3
Vardas867     Pavarde867     8  6  2  3  2  7
Vardas868     Pavarde868     9  10  2  5  10  3
Vardas869     Pavarde869     9  3  6  3  5  7
Vardas870     Pavarde870     8  7  9  2  6  9
Vardas871     Pavarde871     10  1  4  6  1  1
Vardas872     Pavarde872     4  9  4  10  1  4
Vardas873     Pavarde873     8  3  4  8  7  7
Vardas874     Pavarde874     5  3  5  6  7  7
Vardas875     Pavarde875     1  3  5  5  9  7
Vardas876     Pavarde876     10  5  1  1  3  9
Vardas877     Pavarde877     6  1  10  6  5  6
Vardas878     Pavarde878     3  9  4  1  10  2
Vardas879     Pavarde879     10  10  1  8  6  10
Vardas880     Pavarde880     10  7  5  1  3  2
Vardas881     Pavarde881     10  3  8  2  10  5
Vardas882     Pavarde882     8  2  4  10  8  2
Vardas883     Pavarde883     10  1  5  6  7  5
Vardas884     Pavarde884     8  10  6  7  10  8
Vardas885     Pavarde885     5  8  1  4  6  6
Vardas886     Pavarde886     8  8  5  4  4  6
Vardas887     Pavarde887     8  2  3  3  6  5
Vardas888     Pavarde888     8  2  10  5  5  9
Vardas889     Pavarde889     2  9  8  7  6  3
Vardas890     Pavarde890     8  3  9  3  10  5
Vardas891     Pavarde891     5  8  10  9  6  7
Vardas892     Pavarde892     3  5  7  2  2  2
Vardas893     Pavarde893     5  10  5  8  1  2
Vardas894     Pavarde894     9  5  2  9  7  2
Vardas895     Pavarde895     3  7  1  4  1  10
Vardas896     Pavarde896     7  8  7  8  1  6
Vardas897     Pavarde897     4  1  7  2  6  7
Vardas898     Pavarde898     5  6  4  10  7  8
Vardas899     Pavarde899     10  6  5  10  10  2
Vardas900     Pavarde900     1  1  7  1  7  5
Vardas901     Pavarde901     7  6  4  1  9  5
Vardas902     Pavarde902     9  6  8  6  10  9
Vardas903     Pavarde903     10  8  8  4  10  9
Vardas904     Pavarde904     5  10  3  7  7  2
Vardas905     Pavarde905     10  6  4  4  7  9
Vardas906     Pavarde906     4  6  4  3  6  5
Vardas907     Pavarde907     6  1  2  1  7  7
Vardas908     Pavarde908     6  2  10  10  1  8
Vardas909     Pavarde909     2  10  2  1  6  5
Vardas910     Pavarde910     10  4  1  7  9  5
Vardas911     Pavarde911     1  8  6  8  9  5
Vardas912     Pavarde912     5  9  3  1  2  9
Vardas913     Pavarde913     4  3  9  10  1  6
Vardas914     Pavarde914     10  4  3  6  10  3
Vardas915     Pavarde915     10  9  9  9  8  1
Vardas916     Pavarde916     5  5  8  7  1  6
Vardas917     Pavarde917     5  1  1  2  4  9
Vardas918     Pavarde918     6  2  10  2  6  9
Vardas919     Pavarde919     6  10  4  5  4  1
Vardas920     Pavarde920     6  6  2  6  10  10
Vardas921     Pavarde921     4  7  4  4  2  3
Vardas922     Pavarde922     7  2  7  8  2  4
Vardas923     Pavarde923     10  10  4  5  8  9
Vardas924     Pavarde924     7  1  4  5  7  1
Vardas925     Pavarde925     7  4  3  9  2  1
Vardas926     Pavarde926     4  8  3  7  7  8
Vardas927     Pavarde927     2  6  9  8  2  2
Vardas928     Pavarde928     6  5  3  1  3  6
Vardas929     Pavarde929     8  6  3  3  7  10
Vardas930     Pavarde930     9  4  1  10  4  3
Vardas931     Pavarde931     10  10  1  10  1  5
Vardas932     Pavarde932     8  8  9  8  3  7
Vardas933     Pavarde933     7  4  7  7  7  10
Vardas934     Pavarde934     8  1  7  6  4  7
Vardas935     Pavarde935     2  1  8  2  7  7
Vardas936     Pavarde936     4  10  7  8  5  5
Vardas937     Pavarde937     4  9  1  1  1  9
Vardas938     Pavarde938     9  5  8  4  5  8
Vardas939     Pavarde939     7  6  7  3  10  8
Vardas940     Pavarde940     3  8  10  4  10  6
Vardas941     Pavarde941     4  8  9  8  5  5
Vardas942     Pavarde942     6  10  6  8  4  1
Vardas943     Pavarde943     5  3  5  4  10  3
Vardas944     Pavarde944     9  4  4  10  10  2
Vardas945     Pavarde945     8  6  8  4  6  2
Vardas946     Pavarde946     9  1  5  10  8  10
Vardas947     Pavarde947     9  5  2  8  6  7
Vardas948     Pavarde948     5  4  9  8  5  10
Vardas949     Pavarde949     9  6  9  1  5  10
Vardas950     Pavarde950     9  3  2  7  3  5
Vardas951     Pavarde951     9  8  5  7  4  5
Vardas952     Pavarde952     7  8  7  4  7  5
Vardas953     Pavarde953     6  10  4  5  10  1
Vardas954     Pavarde954     2  4  9  7  9  5
Vardas955     Pavarde955     9  3  4  3  5  4
Vardas956     Pavarde956     7  10  10  7  6  6
Vardas957     Pavarde957     10  10  2  4  7  7
Vardas958     Pavarde958     5  3  9  8  1  2
Vardas959     Pavarde959     10  9  1  5  9  9
Vardas960     Pavarde960     2  6  2  10  2  1
Vardas961     Pavarde961     6  3  10  5  8  7
Vardas962     Pavarde962     4  4  3  1  10  1
Vardas963     Pavarde963     2  8  9  2  4  2
Vardas964     Pavarde964     10  5  6  3  10  8
Vardas965     Pavarde965     8  1  4  9  5  7
Vardas966     Pavarde966     5  5  4  6  1  6
Vardas967     Pavarde967     7  2  10  8  10  3
Vardas968     Pavarde968     2  1  1  7  7  1
Vardas969     Pavarde969     8  2  7  10  7  3
Vardas970     Pavarde970     4  4  8  10  7  3
Vardas971     Pavarde971     7  7  5  10  8  9
Vardas972     Pavarde972     6  8  4  6  10  5
Vardas973     Pavarde973     3  9  7  6  4  5
Vardas974     Pavarde974     6  3  4  1  5  4
Vardas975     Pavarde975     2  10  5  4  7  2
Vardas976     Pavarde976     3  3  9  1  8  9
Vardas977     Pavarde977     6  10  6  2  5  4
Vardas978     Pavarde978     8  9  5  1  6  9
Vardas979     Pavarde979     3  5  5  6  9  5
Vardas980     Pavarde980     4  10  6  6  5  5
Vardas981     Pavarde981     8  9  7  3  2  5
Vardas982     Pavarde982     6  6  9  7  1  10
Vardas983     Pavarde983     1  8  2  2  3  6
Vardas984     Pavarde984     5  6  3  7  7  4
Vardas985     Pavarde985     4  1  2  2  2  2
Vardas986     Pavarde986     4  6  1  2  7  7
Vardas987     Pavarde987     1  7  7  5  8  8
Vardas988     Pavarde988     5  4  2  2  6  8
Vardas989     Pavarde989     4  10  10  8  4  10
Vardas990     Pavarde990     5  9  2  10  1  4
Vardas991     Pavarde991     9  3  8  2  3  2
Vardas992     Pavarde992     1  6  3  10  9  9
Vardas993     Pavarde993     4  5  8  10  3  10
Vardas994     Pavarde994     8  5  9  2  6  1
Vardas995     Pavarde995     3  5  1  2  4  4
Vardas996     Pavarde996     3  6  7  1  3  5
Vardas997     Pavarde997     3  5  4  8  7  9
Vardas998     Pavarde998     4  6  4  8  2  6
Vardas999     Pavarde999     7  1  4  2  6  7
Vardas1000     Pavarde1000     1  9  3  8  2  5
